index,row,col,outer_area,inner_area,shell_area
1,1,1,6099.0,3911.0,2188.0
2,1,2,3422.0,2248.0,1174.0
3,1,3,4899.0,4093.0,806.0
4,1,4,2580.0,1506.0,1074.0
5,1,5,3068.0,2038.0,1030.0
6,1,6,3690.0,2968.0,722.0
7,1,7,1085.0,463.0,622.0
8,1,8,2904.0,1846.0,1058.0
9,2,1,462.0,88.0,374.0
10,2,2,437.0,207.0,230.0
11,2,3,1426.0,1238.0,188.0
12,2,4,3776.0,3058.0,718.0
13,2,5,2040.0,2038.0,2.0
14,2,6,792.0,598.0,194.0
15,2,7,4160.0,2558.0,1602.0
16,2,8,4080.0,3210.0,870.0
17,3,1,5760.0,4558.0,1202.0
18,3,2,3240.0,2518.0,722.0
19,3,3,1320.0,658.0,662.0
20,3,4,2418.0,2026.0,392.0
21,3,5,740.0,366.0,374.0
22,3,6,989.0,273.0,716.0
23,3,7,2535.0,1321.0,1214.0
24,3,8,3760.0,2234.0,1526.0
25,4,1,4266.0,3122.0,1144.0
26,4,2,2622.0,1618.0,1004.0
27,4,3,5700.0,4156.0,1544.0
28,4,4,2173.0,1105.0,1068.0
29,4,5,2940.0,1858.0,1082.0
30,4,6,4288.0,2742.0,1546.0
31,4,7,3120.0,1648.0,1472.0
32,4,8,5022.0,3598.0,1424.0
33,5,1,651.0,123.0,528.0
34,5,2,2016.0,1598.0,418.0
35,5,3,3213.0,2621.0,592.0
36,5,4,1488.0,964.0,524.0
37,5,5,4320.0,3326.0,994.0
38,5,6,3430.0,2428.0,1002.0
39,5,7,1395.0,613.0,782.0
40,5,8,1056.0,334.0,722.0
41,6,1,638.0,42.0,596.0
42,6,2,1344.0,1022.0,322.0
43,6,3,3355.0,2449.0,906.0
44,6,4,2790.0,1848.0,942.0
45,6,5,621.0,253.0,368.0
46,6,6,1100.0,166.0,934.0
47,6,7,2090.0,1482.0,608.0
48,6,8,1500.0,574.0,926.0
49,7,1,7304.0,6160.0,1144.0
50,7,2,2688.0,2050.0,638.0
51,7,3,3366.0,2630.0,736.0
52,7,4,5130.0,4178.0,952.0
53,7,5,95.0,13.0,82.0
54,7,6,99.0,43.0,56.0
55,7,7,3584.0,2398.0,1186.0
56,7,8,5049.0,3463.0,1586.0
57,8,1,5676.0,4318.0,1358.0
58,8,2,2436.0,2350.0,86.0
59,8,3,1551.0,773.0,778.0
60,8,4,3770.0,2392.0,1378.0
61,8,5,4002.0,3884.0,118.0
62,8,6,2193.0,823.0,1370.0
63,8,7,1305.0,427.0,878.0
64,8,8,1764.0,1272.0,492.0
